,0
0,Indonesia
1,Vanuatu
2,Philippines
3,New Zealand
4,Romania
5,Tristan da Cunha
6,
7,Carlsberg Ridge
8,Solomon Islands
9,Honduras
10,Turkey
11,Turkey-Syria
12,Chile
13,Japan
14,Papua New Guinea
15,China
16,Iran
17,Greece
18,Argentina
19,Nepal
20,Molucca Sea
21,Reykjanes Ridge
22,Guadeloupe
23,Turkey-Iran
24,Fiji Islands
25,Pacific Rise
26,Tonga
27,Afghanistan
28,Mid-Atlantic Ridge
29,Balleny Islands
30,Loyalty Islands
31,Ethiopia
32,Fiji
33,Pacific-Antarctic Ridge
34,Peru
35,Kermadec Islands
36,CA
37,El Salvador
38,Alaska
39,Panama
40,Mexico
41,Sandwich Islands
42,Samoa Islands
43,Russia
44,Santa Cruz Islands
45,Gabon
46,Bouvet Island
47,Portugal
48,er Island
49,Africa
50,New Caledonia
51,Guatemala
52,India
53,Italy
54,Pacific Ocean
55,Island  New Zealand
56,Saint Helena
57,America
58,Taiwan
59,Mid-Indian Ridge
60,Myanmar
61,ern  Pacific Rise
62,American Samoa
63,Guam
64,Ecuador
65,Timor Leste
66,Macquarie Island
67,Banda Sea
68,Pakistan
69,Svalbard and Jan Mayen
70,Samoa
71,Mariana Islands
72,ern Mariana Islands
73,Oregon
74,Brazil
75,ern Mid-Atlantic Ridge
76,Svalbard
77,Strait  Gibraltar
78,U.S. Virgin Islands
79,Kuril Islands
80,Bosnia and Herzegovina
81,Nicaragua
82,Scotia Sea
83,Wallis and Futuna
84,Ascension Island
85,Colombia
86,Indian Ridge
87,Cyprus
88,Laos
89,Prince Edward Islands
90,Flores Sea
91,Indian Ocean
92,Chile-Argentina
93,Indian-Antarctic Ridge
94,Hawaii
95,Sea  Okhotsk
96,Australia
97,Chile Rise
98,Haiti
99,Greenland Sea
100,Tajikistan
101,Owen Fracture Zone
102,Drake Passage
103,Somalia
104,Costa Rica
105,Crozet Islands
106,Mauritius - Reunion
107,Atlantic Ocean
108,Mongolia
109,Galapagos Triple Junction
110,Shetland Islands
111,Xizang
112,Algeria
113,Iceland
114,Tajikistan-Xinjiang
115,Guyana
116,Croatia
117,Palau
118,Norwegian Sea
119,Chagos Archipelago
120,Tanzania
121,D'Entrecasteaux Islands
122,Java Sea
123,Micronesia
124,Indian Ocean Triple Junction
125,Egypt
126,NV Earthquake
127,Idaho
128,Utah
129,Cayman Islands
130,Jamaica
131,Puerto Rico
132,Canada
133,Sao Tome and Principe
134,Albania
135,Thailand
136,Ridgecrest Earthquake Sequence
137,Mauritius
138,Bolivia
139,Zimbabwe
140,Revilla Gigedo Islands
141,Venezuela
142,Yemen
143,Mayotte
144,Malawi
145,California
146,Iraq
147,Korea
148,Grenada
149,Franz Josef Land
150,Montana
151,Mozambique
152,Peru-Ecuador
153,Antigua and Barbuda
154,Botswana
155,Zambia
156,Martinique
157,Cuba
158,Madagascar
159,Nevada
160,Trinidad and Tobago
161,Dominica
162,Xizang-Qinghai
163,Oklahoma
164,Georgia Island
165,Kyrgyzstan
166,Morocco
167,Federated States  Micronesia
168,Rwanda
169,Barbados
170,Malaysia
171,Napa
172,Azerbaijan
173,ern Alaska
174,Dominican Republic
175,ern Sumatra
176,Falkland Islands
177,Saudi Arabia
178,Uganda
179,Uzbekistan
180,Azores Islands
181,Kazakhstan
182,Georgia
183,Severnaya Zemlya
184,Antarctica
185,Serbia-Bulgaria-Macedonia
186,Virginia
187,Eritrea
188,Djibouti
189,Serbia
190,Bering Sea
191,Spain
192,MX
193,Bhutan
194,Macedonia
195,Baffin Bay
196,Philippine Islands
197,ern Peru
198,Arctic Ocean
199,Bangladesh
200,Democratic Republic   Congo
201,Gulf  Mexico
202,Galapagos Islands
203,Anguilla
204,Azores-Cape St. Vincent Ridge
205,Chile-Bolivia
206,Jan Mayen Island
207,Turkey-Iraq
208,2004 Sumatra - Andaman Islands Earthquake
209,Afghanistan-Tajikistan-Pakistan
210,ern Algeria
211,Kosovo
212,Washington
213,Turkmenistan
214,Sea  Japan
215,CA Earthquake
216,Gulf  Alaska
217,Slovenia
218,Maldives
219,Turkmenistan-Iran
220,Syria
221,Laptev Sea
222,Jordan
223,Republic   Congo
224,Pitcairn Islands
225,Texas
226,Ionian Sea
227,Wyoming
228,Greenland
229,Sudan
230,Ross Sea
231,Cabo Verde
232,Kerguelen Islands
233,Kashmir
234,Bay  Bengal
235,French Polynesia
236,Windward Islands
237,Kenya
238,Montserrat
239,California Earthquake
240,Armenia
241,Norway
242,ern Atlantic Ocean
243,Gulf  California
244,Bulgaria
245,Senegal
246,Saint Kitts and Nevis
247,Aleutian Islands
248,Myanmar-India
249,Guinea
250,Poland
251,Vietnam
252,Tuvalu
253,Libya
254,Kiribati
255,Marshall Islands
256,Maine
257,Maldive Islands
258,Xizang-India
259,Mozambique Channel
260,Montenegro
261,Belgium
262,Myanmar-China
263,Broken Ridge
264,Philippine Sea
265,Sri Lanka
266,Kyrgyzstan-Tajikistan
267,Bismarck Sea
268,Labrador Sea
269,NV
270,Alaska Peninsula
271,Red Sea
272,Oman
273,Colorado
274,Afghanistan-Pakistan
275,ern California
276,1960 Great Chilean Earthquake (Valdivia Earthquake)
277,Xinjiang-Xizang
278,Arizona
279,Tunisia
280,Palestinian Territory
281,Lebanon
282,Hungary
283,Switzerland
284,Saint Lucia
285,Burundi
286,Germany
287,Israel
288,1950 Assam-Tibet Earthquake
289,New Hampshire
290,Celebes Sea
291,Saint Vincent and  Grenadines
292,Ghana
293,California-Nevada
294,Arabian Sea
295,China Sea
296,United Kingdom
297,AK
298,Saint Pierre and Miquelon
299,Ukraine
300,Dead Sea
301,Tasmania
302,Beaufort Sea
303,Comoros
304,Angola
305,Lesotho
306,France
307,Izu Islands
308,1906 San Francisco Earthquake
309,1906 Ecuador-Colombia Earthquake
310,Slovakia
311,Aegean Sea
312,Montenegro-Albania
